version,modo,resolucion,hilos,rep,computo_ms,total_ms
gpu,imagen,512,0,1,1.70,2040.62
gpu,imagen,512,0,2,1.75,177.49
gpu,imagen,512,0,3,1.61,186.29
gpu,imagen,512,0,4,1.72,199.38
gpu,imagen,512,0,5,1.67,194.73
gpu,imagen,1024,0,1,5.75,349.72
gpu,imagen,1024,0,2,5.79,361.86
gpu,imagen,1024,0,3,5.56,351.00
gpu,imagen,1024,0,4,5.66,363.67
gpu,imagen,1024,0,5,6.30,1412.62
gpu,imagen,2048,0,1,21.56,1045.79
gpu,imagen,2048,0,2,21.56,1089.21
gpu,imagen,2048,0,3,21.49,1084.56
gpu,imagen,2048,0,4,21.35,1108.47
gpu,imagen,2048,0,5,21.49,1107.99
gpu,imagen,4096,0,1,92.12,3944.52
gpu,imagen,4096,0,2,84.00,4002.90
gpu,imagen,4096,0,3,91.34,4033.00
gpu,imagen,4096,0,4,92.87,4136.46
gpu,imagen,4096,0,5,92.01,3968.26
