version,modo,resolucion,hilos,rep,computo_ms,total_ms
omp,imagen,512,1,1,1873.7,1876.77
omp,imagen,512,1,2,1868.9,1872.23
omp,imagen,512,1,3,1841.7,1844.80
omp,imagen,512,1,4,1855.4,1858.20
omp,imagen,512,1,5,1818.5,1821.38
omp,imagen,512,2,1,917.8,921.51
omp,imagen,512,2,2,927.0,930.53
omp,imagen,512,2,3,919.0,922.52
omp,imagen,512,2,4,931.2,934.74
omp,imagen,512,2,5,920.5,924.03
omp,imagen,512,4,1,494.4,498.12
omp,imagen,512,4,2,495.6,499.22
omp,imagen,512,4,3,487.4,491.00
omp,imagen,512,4,4,493.8,497.13
omp,imagen,512,4,5,494.0,497.80
omp,imagen,512,8,1,311.6,315.10
omp,imagen,512,8,2,308.0,311.35
omp,imagen,512,8,3,310.6,314.46
omp,imagen,512,8,4,306.8,310.11
omp,imagen,512,8,5,307.1,310.67
omp,imagen,512,16,1,191.4,195.15
omp,imagen,512,16,2,199.5,203.05
omp,imagen,512,16,3,190.0,193.59
omp,imagen,512,16,4,203.8,207.10
omp,imagen,512,16,5,190.9,194.68
omp,imagen,512,20,1,145.1,149.20
omp,imagen,512,20,2,161.1,164.32
omp,imagen,512,20,3,164.5,168.43
omp,imagen,512,20,4,155.9,160.23
omp,imagen,512,20,5,168.7,172.41
omp,imagen,1024,1,1,7406.4,7410.88
omp,imagen,1024,1,2,7360.1,7364.30
omp,imagen,1024,1,3,7321.0,7325.29
omp,imagen,1024,1,4,7347.0,7352.07
omp,imagen,1024,1,5,7378.2,7382.60
omp,imagen,1024,2,1,3684.3,3688.76
omp,imagen,1024,2,2,3692.2,3697.00
omp,imagen,1024,2,3,3653.7,3658.11
omp,imagen,1024,2,4,3729.6,3733.51
omp,imagen,1024,2,5,3727.9,3732.56
omp,imagen,1024,4,1,1992.4,1997.03
omp,imagen,1024,4,2,1982.6,1987.23
omp,imagen,1024,4,3,1985.5,1990.66
omp,imagen,1024,4,4,1969.6,1974.19
omp,imagen,1024,4,5,1981.9,1986.47
omp,imagen,1024,8,1,1242.6,1247.37
omp,imagen,1024,8,2,1233.9,1239.34
omp,imagen,1024,8,3,1251.6,1256.16
omp,imagen,1024,8,4,1247.4,1252.19
omp,imagen,1024,8,5,1243.5,1247.88
omp,imagen,1024,16,1,809.0,813.79
omp,imagen,1024,16,2,774.1,779.39
omp,imagen,1024,16,3,772.7,777.98
omp,imagen,1024,16,4,728.3,732.82
omp,imagen,1024,16,5,761.6,765.98
omp,imagen,1024,20,1,616.4,620.93
omp,imagen,1024,20,2,653.0,658.12
omp,imagen,1024,20,3,658.5,662.71
omp,imagen,1024,20,4,605.2,609.77
omp,imagen,1024,20,5,610.5,614.89
omp,imagen,2048,1,1,29104.3,29112.92
omp,imagen,2048,1,2,28933.1,28940.64
omp,imagen,2048,1,3,28591.7,28599.63
omp,imagen,2048,1,4,28588.7,28596.36
omp,imagen,2048,1,5,28596.3,28604.31
omp,imagen,2048,2,1,14470.8,14478.31
omp,imagen,2048,2,2,14428.2,14436.50
omp,imagen,2048,2,3,14460.5,14467.85
omp,imagen,2048,2,4,14469.6,14477.29
omp,imagen,2048,2,5,14404.0,14411.73
omp,imagen,2048,4,1,7305.3,7312.86
omp,imagen,2048,4,2,7292.6,7300.95
omp,imagen,2048,4,3,7307.5,7315.26
omp,imagen,2048,4,4,7277.6,7284.97
omp,imagen,2048,4,5,7297.6,7305.36
omp,imagen,2048,8,1,3795.2,3803.88
omp,imagen,2048,8,2,3794.2,3802.00
omp,imagen,2048,8,3,3793.5,3801.95
omp,imagen,2048,8,4,3795.0,3803.25
omp,imagen,2048,8,5,3793.0,3801.63
omp,imagen,2048,16,1,2115.6,2123.34
omp,imagen,2048,16,2,2152.2,2160.44
omp,imagen,2048,16,3,2098.4,2106.20
omp,imagen,2048,16,4,2413.7,2422.51
omp,imagen,2048,16,5,2639.4,2648.39
omp,imagen,2048,20,1,2304.0,2312.85
omp,imagen,2048,20,2,2219.8,2228.38
omp,imagen,2048,20,3,2253.2,2263.80
omp,imagen,2048,20,4,2238.8,2247.75
omp,imagen,2048,20,5,2219.5,2228.99
omp,imagen,4096,1,1,115718.8,115742.07
omp,imagen,4096,1,2,115784.0,115807.51
omp,imagen,4096,1,3,116518.7,116542.46
omp,imagen,4096,1,4,116519.0,116539.93
omp,imagen,4096,1,5,116383.6,116406.43
omp,imagen,4096,2,1,58099.4,58121.75
omp,imagen,4096,2,2,58044.4,58065.55
omp,imagen,4096,2,3,58017.4,58040.67
omp,imagen,4096,2,4,58087.2,58109.99
omp,imagen,4096,2,5,58243.9,58266.93
omp,imagen,4096,4,1,29296.8,29319.20
omp,imagen,4096,4,2,29249.0,29272.68
omp,imagen,4096,4,3,29265.1,29286.82
omp,imagen,4096,4,4,29255.4,29279.50
omp,imagen,4096,4,5,29281.0,29302.54
omp,imagen,4096,8,1,15232.2,15256.36
omp,imagen,4096,8,2,16961.0,16984.31
omp,imagen,4096,8,3,17192.5,17219.28
omp,imagen,4096,8,4,17197.3,17220.55
omp,imagen,4096,8,5,17187.2,17216.29
omp,imagen,4096,16,1,10308.9,10333.40
omp,imagen,4096,16,2,10312.7,10339.07
