version,modo,resolucion,hilos,rep,computo_ms,total_ms
serial,imagen,512,1,1,1792.6,1797.24
serial,imagen,512,1,2,1796.3,1799.29
serial,imagen,512,1,3,1821.9,1825.13
serial,imagen,512,1,4,1843.1,1846.32
serial,imagen,512,1,5,1839.3,1841.94
serial,imagen,1024,1,1,7255.7,7259.36
serial,imagen,1024,1,2,7236.6,7240.32
serial,imagen,1024,1,3,7289.5,7293.09
serial,imagen,1024,1,4,7179.6,7183.31
serial,imagen,1024,1,5,7232.3,7236.05
serial,imagen,2048,1,1,28918.6,28925.44
serial,imagen,2048,1,2,28931.0,28937.52
serial,imagen,2048,1,3,28986.0,28992.69
serial,imagen,2048,1,4,28957.1,28964.64
serial,imagen,2048,1,5,28941.2,28948.91
serial,imagen,4096,1,1,115690.6,115711.38
serial,imagen,4096,1,2,115657.4,115681.13
serial,imagen,4096,1,3,115946.8,115967.18
serial,imagen,4096,1,4,112226.3,112247.94
serial,imagen,4096,1,5,111265.1,111287.16
