version,modo,resolucion,hilos,rep,frames,computo_ms
serial,video,512,1,1,10,16976.5
serial,video,512,1,2,10,15448.9
serial,video,1024,1,1,10,63910.799999999996
serial,video,1024,1,2,10,61134.9
serial,video,2048,1,1,10,243979.6
omp,video,512,1,1,10,15460.2
omp,video,512,1,2,10,15820.3
omp,video,512,2,1,10,7798.499999999999
omp,video,512,2,2,10,7902.4
omp,video,512,4,1,10,4181.9
omp,video,512,4,2,10,4217.0
omp,video,512,8,1,10,2426.6
omp,video,512,8,2,10,2434.6
omp,video,512,16,1,10,1700.1
omp,video,512,16,2,10,1721.5000000000002
omp,video,512,20,1,10,1697.8
omp,video,512,20,2,10,1705.5000000000002
omp,video,1024,1,1,10,63778.8
omp,video,1024,1,2,10,63199.6
omp,video,1024,2,1,10,31785.299999999996
omp,video,1024,2,2,10,32336.1
omp,video,1024,4,1,10,17560.4
omp,video,1024,4,2,10,17858.4
omp,video,1024,8,1,10,10412.5
omp,video,1024,8,2,10,11190.800000000001
omp,video,1024,16,1,10,8624.699999999999
omp,video,1024,16,2,10,8646.300000000001
omp,video,1024,20,1,10,8323.0
omp,video,1024,20,2,10,8322.7
omp,video,2048,1,1,10,250933.6
omp,video,2048,2,1,10,126452.10000000002
omp,video,2048,4,1,10,71053.29999999999
omp,video,2048,8,1,10,45387.7
omp,video,2048,16,1,10,35633.899999999994
omp,video,2048,20,1,10,34667.299999999996
